country,code,frenchCountry,score,title,type,format,secteur,coordX,coordY,logo,when,where,who,url,img,what
France,FR,France,9,AgoraVox,Satirique,Forum,RS,,,https://www.agoravox.fr/local/cache-vignettes/L335xH95/siteon0-e5814.png,28/02/17,France ,"AgoraVox, est un m?dia 100% citoyen et 100% participatif. ",https://www.agoravox.fr/tribune-libre/article/fake-news-ou-fausses-nouvelles-190181,https://www.agoravox.fr/local/cache-vignettes/L450xH292/arton209482-bb247.jpg,"""On a appris r?cemment que Facebook projette d’intervenir pour classer les messages les plus vus, afin d'?touffer les informations jug?es comme fausses (?a s’appelle manipuler, en bon fran?ais). Facebook mettra en place une fonction de d?nonciation pour que des utilisateurs puissent signaler les contenus qu'ils jugeront faux. Puis Facebook transf?rera les messages d?nonc?s ? un ?chantillon de personnes nomm?es “fact-checkers” (en fran?ais v?rificateurs, ou encore comit? de censure) pour la circonstance. Navigant entre vraies/fausses et fausses/vraies nouvelles, conspirationnisme, propagande gouvernementale, puritanisme et bien pensance, Facebook pr?tend devenir le super h?ros de la v?rit? vraie. Google n’est pas en reste et, avec son “News Lab”, se trouve d?j? sur la ligne de d?part.""
""Maintenant que la presse d’opinions est r?duite ? une poign?e de journaux, il reste ? domestiquer l’Internet. Aux yeux de certains, c’est une prochaine ?tape, il faut qu’un minist?re de la V?rit? (comme dans le cauchemardesque “1984” de George Orwell) normalise, r?glemente, interdise. En un mot : leur r?ve c’est le retour de la censure ! Non, tu n’es pas un citoyen, tu es un sujet, alors ferme la !"""
France,FR,France,9,AgoraVox,D?cryptae,Site Internet,Actualit?,,,https://www.agoravox.fr/local/cache-vignettes/L335xH95/siteon0-e5814.png,28/02/17,France ,"AgoraVox, est un m?dia 100% citoyen et 100% participatif. ",https://www.agoravox.fr/tribune-libre/article/fake-news-ou-fausses-nouvelles-190181,https://www.agoravox.fr/local/cache-vignettes/L450xH292/arton209446-6c12d.jpg,"""On a appris r?cemment que Facebook projette d’intervenir pour classer les messages les plus vus, afin d'?touffer les informations jug?es comme fausses (?a s’appelle manipuler, en bon fran?ais). Facebook mettra en place une fonction de d?nonciation pour que des utilisateurs puissent signaler les contenus qu'ils jugeront faux. Puis Facebook transf?rera les messages d?nonc?s ? un ?chantillon de personnes nomm?es “fact-checkers” (en fran?ais v?rificateurs, ou encore comit? de censure) pour la circonstance. Navigant entre vraies/fausses et fausses/vraies nouvelles, conspirationnisme, propagande gouvernementale, puritanisme et bien pensance, Facebook pr?tend devenir le super h?ros de la v?rit? vraie. Google n’est pas en reste et, avec son “News Lab”, se trouve d?j? sur la ligne de d?part.""
""Maintenant que la presse d’opinions est r?duite ? une poign?e de journaux, il reste ? domestiquer l’Internet. Aux yeux de certains, c’est une prochaine ?tape, il faut qu’un minist?re de la V?rit? (comme dans le cauchemardesque “1984” de George Orwell) normalise, r?glemente, interdise. En un mot : leur r?ve c’est le retour de la censure ! Non, tu n’es pas un citoyen, tu es un sujet, alors ferme la !"""
United States of America,US,Etats-Unis,7,GAB,D?cryptage,Forum,Fais divers,,,https://gab.ai/assets/img/logo-nov.png,Depuis 2007," Philadelphia, USA ","Social Media , Gab is funded by you, The People. Learn how you can invest and join us on our journey to defend liberty.",https://gab.ai/home,https://gab.com/media/image/bq-5be9f2b27e64a.jpeg,"Fake news is a real problem. Recently, the Pew Research Center found that about two thirds of U.S. adults say completely made-up news causes a great deal of confusion about current events. So we built Fake News!, a simple game to test our collective ability to distinguish between what's true, and what's just been tweeted"
France,FR,France,9,FRAGIL,D?cryptage,Outils,Actualit?,,,https://fragil.org/wp-content/uploads/2016/04/LogoFragil-e1466600445531.jpg,15/04/16,"Nantes, France ","Fragil, projet associatif, M?dias, Culture, ?ducation
Fragil se positionne depuis sa cr?ation en 2002 ? la crois?e de plusieurs dimensions : M?dias, Culture et ?ducation. A l’origine m?dia culturel et social produit dans la m?tropole nantaise dans le style Do It Yourself, Fragil accompagne ?galement aujourd’hui des projets d’?ducation aux m?dias et aux pratiques num?riques ? dimension r?gionale.",https://www.fragil.org/atelier-de-decryptage-des-fakenews/,https://www.fragil.org/wp-content/uploads/2018/03/fakenews-300x171.jpg,"""On a appris r?cemment que Facebook projette d’intervenir pour classer les messages les plus vus, afin d'?touffer les informations jug?es comme fausses (?a s’appelle manipuler, en bon fran?ais). Facebook mettra en place une fonction de d?nonciation pour que des utilisateurs puissent signaler les contenus qu'ils jugeront faux. Puis Facebook transf?rera les messages d?nonc?s ? un ?chantillon de personnes nomm?es “fact-checkers” (en fran?ais v?rificateurs, ou encore comit? de censure) pour la circonstance. Navigant entre vraies/fausses et fausses/vraies nouvelles, conspirationnisme, propagande gouvernementale, puritanisme et bien pensance, Facebook pr?tend devenir le super h?ros de la v?rit? vraie. Google n’est pas en reste et, avec son “News Lab”, se trouve d?j? sur la ligne de d?part.""
""Maintenant que la presse d’opinions est r?duite ? une poign?e de journaux, il reste ? domestiquer l’Internet. Aux yeux de certains, c’est une prochaine ?tape, il faut qu’un minist?re de la V?rit? (comme dans le cauchemardesque “1984” de George Orwell) normalise, r?glemente, interdise. En un mot : leur r?ve c’est le retour de la censure ! Non, tu n’es pas un citoyen, tu es un sujet, alors ferme la !"""
France,FR,France,9,Le Blogue Noir De Broc?liande,Satirique,Site Internet,Presse,,,,Depuis 2008,France ,"Anonyme - BERTRAND RIVIERE (Blogueur depuis 2008 - Fich? par EU Disinfolab Matricule 27170)
Pour info : Nicolas Vanderbiest, le co-fondateur de l'ONG ""EU DisinfoLab""
""Aujourd'hui, les m?dias subventionn?s officiels ont perdu toute cr?dibilit?. Lass?s des mensonges et de la d?sinformation, les citoyens prennent en charge leur propre r?-information gr?ce aux blogs, r?seaux dit ""sociaux"", sites de partage de vid?os et autres. Malgr? un nom qui ?voque la d?rision et l'humour, Le Blogue Noir de Broc?liande de Bertrand Du Gai D?clin alias Bertrand Riviere se veut un blog s?rieux qui ne se base que sur des sources qu'il a lui-m?me v?rifi?es et qui sont la plupart du temps cit?es dans l'article. Le Blog de Bertrand n'appartient ? aucun parti ni organisation politique et ne revendique aucune illusoire ""objectivit?"", seulement l’honn?tet? et surtout aucun ""extr?misme"" ni ""complotisme"".",https://gaideclin.blogspot.com/search?q=fakenews,https://4.bp.blogspot.com/-XjCeVHT13MQ/W30PhssdSJI/AAAAAAAAEuU/vV_WIlBFlS0pkLEmX2UNCdp5umKt4fuLACLcBGAs/s400/bugier.jpg,"D?nonciation de Fake news, Plus un pugilat qu'une d?monstration appuy?e sur des faits."
France,FR,France,9,Fawkes News,D?cryptage,Forum,Actualit?,,,,15/02/17,France ,"Blog Fawkes News, @Guy_Fawkes_News ",http://www.fawkes-news.com/2018/08/eu-disinfolab-quand-la-lutte-contre-les.html ,https://3.bp.blogspot.com/-StelMmAsTdc/W3FD3sPxQ7I/AAAAAAAAVgE/s1G_8k6flTAK0cprGK7_nANWCvyW_xrbACK4BGAYYCw/s400/cp-les-crises-disinfolab-2.jpg,"Blog, sur des sujets qui font pol?miques sur les RS. Sujets internationaux   "
France,FR,France,9,Fawkes News,D?cryptage,Outils,Actualit?,,,,15/02/17,France ,"Blog Fawkes News, @Guy_Fawkes_News ",http://www.fawkes-news.com/2017/02/petit-manuel-dautodefense-en-10-points.html,https://1.bp.blogspot.com/-_7jK_Mb2qzE/W-deLNmPyoI/AAAAAAAAWU8/7nm5IsK0n0Y4eEwpSxArNrhDVS6GuJESQCK4BGAYYCw/s400/IA-militaire-Chine-enfants-robots-e1541788091515.jpg,"Blog, sur des sujets qui font pol?miques sur les RS. Sujets internationaux   "
Belgique,BE,Belgique,1,Desinfolab,D?nonciation,Site Internet,Politique,,,https://media.licdn.com/dms/image/C560BAQHPAdzh6D2GEA/company-logo_200_200/0?e=1550102400&v=beta&t=-LKBC0ASVN1nAk41okt5YDgqXzXm4mwLfwq0IQleiug,Depuis 2017," Brussel, Belgium"," ONG, Associations et organisations sociales et syndicales Brussels, Brussels. Our mission – to fight disinformation with innovative methodology and scientific support to the counter-disinformation community.",https://disinfo.eu/,http://disinfo.eu/wp-content/uploads/2017/12/frenchelection.jpg,"Les d?rives des surveillances et du traitement de l'information
Twitter Benalla"
France,FR,France,9,Comment cr?er une Fake News en 2mn,D?cryptage,Video,Technique,,,https://yt3.ggpht.com/a-/AN66SAxRFmMrK4TILpFN4l47EPHp_mn0bAL-R2APww=s288-mo-c-c0xffffffff-rj-k-no,2018,"Paris, France   ",MBA MCI,https://www.youtube.com/watch?v=7aBZlYwkYRI,https://mbamci.com/wp-content/uploads/2018/11/Ce-que-les-influencers-oublient-de-vous-dire-sur-instagram-400x225.jpg ,Communication pour leur centre de formation
France,FR,France,9,Niext Impact,D?cryptage,Site Internet,Technique,,,https://www.nextinpact.com/images/common/logo-next.svg, 19/10/2017,"Nancy, France   "," Entreprise, Site d'actualit?s High-tech depuis plus de 18 ans ",https://www.nextinpact.com/brief/creer-une-fake-news-sur-facebook--c-est-aussi-simple-que-de-depenser-50---691.htm,https://cdn2.nextinpact.com/images/bd/wide-linked-media/1930.jpg,Communication pour leur centre de formation
United States of America,US,Etats-Unis,7,Dynamo Neo Blog,D?cryptage,Forum,Technique,,,https://marionchauloux.files.wordpress.com/2016/03/logo-dynamo-bla-bla-copie.png,24/03/17,"Philadelphia, USA  ","Le blog d'une Agence de Com
Manon SAINTOT, Animatrice de communaut?s chez Dynamo N?ocom ", https://strategie-et-marketing.com/2017/03/24/trolls-fake-news-desinformation-quel-impact-sur-la-societe/,https://marionchauloux.files.wordpress.com/2017/03/fake-1909821_960_720.jpg,"Sur les impacts des fakes news 
""Comment s’y prennent-ils ?
Il y a plusieurs mani?res de duper les internautes :
	• utiliser une url similaire ? un site d’information s?re
	• faire des photomontages
	• inventer des citations, des infos
	• partir d’informations r?elles mais ajouter de fausses infos par-ci par-l?
	• utiliser des images sorties de leur contexte (les ?missions d’infos qui utilisent des images datant d’un an pour illustrer une information en direct).""
Article pour ?tre diffus? sur les RS. (Com)
Sur les impacts des fakes news 
""Comment s’y prennent-ils ?
Il y a plusieurs mani?res de duper les internautes :
	• utiliser une url similaire ? un site d’information s?re
	• faire des photomontages
	• inventer des citations, des infos
	• partir d’informations r?elles mais ajouter de fausses infos par-ci par-l?
	• utiliser des images sorties de leur contexte (les ?missions d’infos qui utilisent des images datant d’un an pour illustrer une information en direct).""
Article pour ?tre diffus? sur les RS. (Com)
Sur les impacts des fakes news 
""Comment s’y prennent-ils ?
Il y a plusieurs mani?res de duper les internautes :
	• utiliser une url similaire ? un site d’information s?re
	• faire des photomontages
	• inventer des citations, des infos
	• partir d’informations r?elles mais ajouter de fausses infos par-ci par-l?
	• utiliser des images sorties de leur contexte (les ?missions d’infos qui utilisent des images datant d’un an pour illustrer une information en direct).""
Article pour ?tre diffus? sur les RS. (Com)
Sur les impacts des fakes news 
""Comment s’y prennent-ils ?
Il y a plusieurs mani?res de duper les internautes :
	• utiliser une url similaire ? un site d’information s?re
	• faire des photomontages
	• inventer des citations, des infos
	• partir d’informations r?elles mais ajouter de fausses infos par-ci par-l?
	• utiliser des images sorties de leur contexte (les ?missions d’infos qui utilisent des images datant d’un an pour illustrer une information en direct).""
Article pour ?tre diffus? sur les RS. (Com)
"
France,FR,France,9,Manuel d'auto-d?fense intellectuelle,D?cryptage,Livre,Actualit?,,,https://www.facebook.com/Manuel-dautod%C3%A9fense-intellectuelle-924459200941078/,Depuis 2007,"Saint-denis, France","Sophie Mazet
""Jeune enseignante en Anglais, Sophie Mazet a d? se fabriquer un profil « tout-terrain » pour faire face au niveau tr?s variable des ?l?ves de son lyc?e de ZEP. Tr?s vite, elle se trouve confront?e ? des adolescents capables de croire sans r?serve aux informations les plus farfelues, voire les plus effroyables. """,hhttps://www.facebook.com/Manuel-dautod%C3%A9fense-intellectuelle-924459200941078/tps://www.nextinpact.com/brief/creer-une-fake-news-sur-facebook--c-est-aussi-simple-que-de-depenser-50---691.htm,https://scontent-cdg2-1.xx.fbcdn.net/v/t31.0-8/12247902_924468650940133_6613634013841327241_o.jpg?_nc_cat=103&_nc_ht=scontent-cdg2-1.xx&oh=3ad5e68bd0da1347bf167dd5c500e0ef&oe=5C7B06FB,"""En 2010, puisant son inspiration dans une d?claration du c?l?bre linguiste Noam Chomsky, pour qui un « cours d'autod?fense intellectuelle devrait ?tre obligatoire dans tout syst?me d'?ducation qui se respecte », elle se lance et invite les ?l?ves de son lyc?e ? s'entra?ner avec elle ? d?velopper leur esprit critique tout en s'amusant. Le cours est un succ?s. Son adaptation sous forme de manuel grand public s'impose alors naturellement. Compos? de neuf le?ons, chacune agr?ment?e d'une « alerte parano?a « et d'une « bo?te ? outils », ce guide propose d'apprendre ? d?crypter toutes les formes de discours dont la vis?e est bien souvent de nous rouler dans la farine : du discours politique au discours bio-?colo-?quitable, en passant par le langage publicitaire, les discours des m?dias d'information, des s?ries t?l?, des conspirationnistes, des pseudo-sciences ou des extr?mistes de tout poil. Un ouvrage dr?le, accessible et intelligent ? l'usage des jeunes g?n?rations, mais aussi de ceux qui souhaitent remettre l'esprit critique ? l'honneur et combattre efficacement propagande, langue de bois, intox, raccourcis, amalgames, fausses rumeurs et psychoses en tout genre."""
France,FR,France,9,Hoaxbuster,D?cryptage,Site Internet,Actualit?,,,http://www.hoaxbuster.com/sites/default/files/logo.png,2018,France ,"Association
""Cr?? en 2000, HoaxBuster.com poursuit un objectif : mettre un terme ? la propagation des hoax et des rumeurs en circulation sur le web francophone !
La mission semble impossible ? Voil? une bonne raison de rejoindre le r?seau mondial de la HoaxTeam en devenant vous aussi un ""HoaxBuster"".""
",http://www.hoaxbuster.com/,http://www.hoaxbuster.com/sites/default/files/2018-01-19_15h16_24.png,"Kit de survie 2.0
http://www.hoaxbuster.com/kit-de-survie-20"
France,FR,France,9,Henry 4 School,Humouristique,Site Internet,Politique,,,https://lyc-henri4.scola.ac-paris.fr/templates/rhuk_milkyway/images/henri_iv_logo.png,17/02/17,France ,"Association
""Cr?? en 2000, HoaxBuster.com poursuit un objectif : mettre un terme ? la propagation des hoax et des rumeurs en circulation sur le web francophone !
La mission semble impossible ? Voil? une bonne raison de rejoindre le r?seau mondial de la HoaxTeam en devenant vous aussi un ""HoaxBuster"".""
",http://www.henry4school.fr/Media/press/fake-news.htm,http://www.henry4school.fr/Media/images/press/dear-santap.jpg,"Kit de survie 2.0
http://www.hoaxbuster.com/kit-de-survie-20"
